placementId,siteName,appName,status
651910048330174_751058108415367,Interstitial-002-new,FreeCell2,TRUE
651910048330174_751058631748648,Native-brand-002-new,FreeCell2,TRUE
651910048330174_751058485081996,Native-brand-new,FreeCell2,TRUE
651910048330174_751058865081958,Interstitial-004-new,FreeCell2,TRUE
651910048330174_751059018415276,Interstitial-001-new,FreeCell2,TRUE
814097462057274_1042166605917024,Full2-Native-brand-002,Super Challenges,TRUE
814097462057274_1062506473883037,Reward video-001,Classic Solitaire,TRUE
814097462057274_814097702057250,Interstitial-001,Classic Solitaire,TRUE
814097462057274_838243749642645,banner-001,Classic Solitaire,TRUE
814097462057274_853994041400949,native-001,Classic Solitaire,TRUE
814097462057274_855733191227034,Interstitial-003,Classic Solitaire,TRUE
814097462057274_856172764516410,banner-002,Classic Solitaire,TRUE
814097462057274_858745904259096,Interstitial-003,Classic Solitaire,TRUE
814097462057274_858746004259086,Interstitial-004,Classic Solitaire,TRUE
814097462057274_858746080925745,Interstitial-005,Classic Solitaire,TRUE
814097462057274_858746364259050,banner-003,Classic Solitaire,TRUE
814097462057274_858746407592379,banner-004,Classic Solitaire,TRUE
814097462057274_858746490925704,banner-005,Classic Solitaire,TRUE
814097462057274_860423570757996,native-002,Classic Solitaire,TRUE
814097462057274_867302523403434,NativeMenu-001,Classic Solitaire,TRUE
814097462057274_884904108309942,NativeMenu-002,Classic Solitaire,TRUE
814097462057274_1101079846692366,Reward video-001,Classic Solitaire,TRUE
814097462057274_921979464602406,banner-001,Super Challenges,TRUE
814097462057274_921989331268086,full2-Interstitial-001,Super Challenges,TRUE
814097462057274_921990821267937,native-001,Super Challenges,TRUE
814097462057274_921992114601141,NativeMenu-001,Super Challenges,TRUE
814097462057274_921993531267666,NativeMenu-002,Super Challenges,TRUE
814097462057274_921993654600987,native-002,Super Challenges,TRUE
814097462057274_921993771267642,Interstitial-004,Super Challenges,TRUE
814097462057274_925557150911304,Native-brand-001,Super Challenges,TRUE
814097462057274_926005537533132,full2-banner-002,Super Challenges,TRUE
237470269973217_414382608948648,Reward video-001,Super Challenges,TRUE
237470269973217_450722011981374,Reward video-002,Super Challenges,TRUE
814097462057274_938919296241756,DIYFacebook-001,Super Challenges,TRUE
237470269973217_472262506493991,X-Interstitial-001-New,Super Challenges,TRUE
237470269973217_472265403160368,X-Interstitial-002,Super Challenges,TRUE
237470269973217_472262373160671,X-Interstitial-003-New,Super Challenges,TRUE
237470269973217_472264993160409,X-Interstitial-004,Super Challenges,TRUE
237470269973217_472264786493763,X-Naitve-Brand,Super Challenges,TRUE
237470269973217_472264403160468,X-Native-Brand-002,Super Challenges,TRUE
814097462057274_926679480799071,DIYFacebook-001,Classic Solitaire,TRUE
814097462057274_961743237292695,Interstitial-005,Solitaire,TRUE
814097462057274_972275192906166,Basic1/2-Navtie-Interstitial,Solitaire,TRUE
814097462057274_1148416765292007,X-Banner-002,Classic Solitaire,TRUE
814097462057274_1148415991958751,X-Banner-003,Classic Solitaire,TRUE
814097462057274_974021356064883,full2-Native-brand,Super Challenges,TRUE
814097462057274_974024262731259,Native-Interstitial,Classic Solitaire,TRUE
814097462057274_1006757859457899,Video-test,Classic Solitaire,TRUE
303671956754749_303672770088001,banner-001,Solitaire Flat,TRUE
303671956754749_303672943421317,Interstitial-001,Solitaire Flat,TRUE
303671956754749_303677873420824,Native-Interstitial,Solitaire Flat,TRUE
303671956754749_303673446754600,Interstitial-004,Solitaire Flat,TRUE
303671956754749_303673820087896,banner-002,Solitaire Flat,TRUE
303671956754749_303677783420833,native-002,Solitaire Flat,TRUE
303671956754749_303677646754180,NativeMenu-001,Solitaire Flat,TRUE
303671956754749_303673123421299,native-001,Solitaire Flat,TRUE
303671956754749_303677720087506,NativeMenu-002,Solitaire Flat,TRUE
303671956754749_368594033595874,Interstitial-002-new,Solitaire Flat,TRUE
303671956754749_368593876929223,Native-brand-002-new,Solitaire Flat,TRUE
303671956754749_368594213595856,Native-brand-new,Solitaire Flat,TRUE
303671956754749_368594426929168,Interstitial-004-new,Solitaire Flat,TRUE
303671956754749_368594480262496,Interstitial-001-new,Solitaire Flat,TRUE
479157242416060_479161239082327,Interstitial-004,Word Tailor,TRUE
479157242416060_479183865746731,banner-002,Word Tailor,TRUE
479157242416060_479186162413168,Navtie-brand-001,Word Tailor,TRUE
479157242416060_479184792413305,Native Banner-001,Word Tailor,TRUE
479157242416060_479185075746610,Native Banner-002,Word Tailor,TRUE
479157242416060_479160879082363,Interstitial-001,Word Tailor,TRUE
479157242416060_479177519080699,Banner-001,Word Tailor,TRUE
479157242416060_482210958777355,Native-brand-002,Word Tailor,TRUE
479157242416060_482211368777314,Native-brand-new,Word Tailor,TRUE
479157242416060_507417269590057,reward-video-002,Word Tailor,TRUE
479157242416060_520498441615273,Reward video-002-New,Word Tailor,TRUE
479157242416060_520498034948647,Reward video-001-New,Word Tailor,TRUE
479157242416060_521263081538809,Reward Video-003-New,Word Tailor,TRUE
479157242416060_521657841499333,Reward Video-004-New,Word Tailor,TRUE
462254787473609_462264797472608,Interstitial-004-new,Word Tailor_FR,TRUE
462254787473609_462265344139220,banner-002,Word Tailor_FR,TRUE
462254787473609_462264247472663,Navtie-brand-001,Word Tailor_FR,TRUE
462254787473609_462265157472572,Native Banner-001,Word Tailor_FR,TRUE
462254787473609_462262630806158,Native Banner-002,Word Tailor_FR,TRUE
462254787473609_462264844139270,Interstitial-001,Word Tailor_FR,TRUE
462254787473609_462265454139209,Banner-001,Word Tailor_FR,TRUE
462254787473609_462264154139339,Native-brand-002,Word Tailor_FR,TRUE
