placementId,appName,status,siteName
ca-app-pub-9240980261558928/1118377897,Daily Challenge,TRUE,DIYAdmob-002
ca-app-pub-9240980261558928/2000344299,Daily Challenge,TRUE,Interstitial-001
ca-app-pub-9240980261558928/3477077497,Daily Challenge,TRUE,Interstitial-002
ca-app-pub-9240980261558928/3616678298,Daily Challenge,TRUE,banner-001
ca-app-pub-9240980261558928/4953810691,Daily Challenge,TRUE,Interstitial-003
ca-app-pub-9240980261558928/5688178296,Daily Challenge,TRUE,banner-002
ca-app-pub-9240980261558928/7025310696,Daily Challenge,TRUE,Interstitial-004
ca-app-pub-9240980261558928/8502043892,Daily Challenge,TRUE,Interstitial-005
ca-app-pub-9240980261558928/6407616287,Daily Challenge,TRUE,Admob-Interstitial-006
ca-app-pub-9240980261558928/3081166630,Daily Challenge,TRUE,GroupA-Banner-003
ca-app-pub-9240980261558928/5292397001,Daily Challenge,TRUE,GroupA-Banner-002
ca-app-pub-9240980261558928/5483968699,Daily Challenge,TRUE,GroupA-Banner-001
ca-app-pub-9240980261558928/6549638359,Daily Challenge,TRUE,GroupAInterstitial-006
ca-app-pub-9240980261558928/8888915133,Daily Challenge,TRUE,GroupB-Banner-003
ca-app-pub-9240980261558928/8082211878,Daily Challenge,TRUE,GroupB-Banner-002
ca-app-pub-9240980261558928/5839191911,Daily Challenge,TRUE,GroupB-Banner-001
ca-app-pub-9240980261558928/9039112463,Daily Challenge,TRUE,GroupB-Interstitial-006
ca-app-pub-3144836196842303/7577692675,Dragon Defend,TRUE,Mini Dragon Defend Banner 
ca-app-pub-3144836196842303/9054425870,Dragon Defend,TRUE,Mini Dragon Defend Interstitial
ca-app-pub-3144836196842303/3988441079,Dragon Raid,TRUE,Dragon Raid Interstitial 
ca-app-pub-3144836196842303/1359675471,DragonGem,TRUE,Dragon Gem Interstitial 
ca-app-pub-3144836196842303/2436837473,DragonGem,TRUE,Interstitial-005
ca-app-pub-3144836196842303/2576438277,DragonGem,TRUE,banner-001
ca-app-pub-3144836196842303/4053171478,DragonGem,TRUE,banner-002
ca-app-pub-3144836196842303/5529904670,DragonGem,TRUE,Interstitial-001
ca-app-pub-3144836196842303/7006637878,DragonGem,TRUE,Interstitial-002
ca-app-pub-3144836196842303/8483371075,DragonGem,TRUE,Interstitial-003
ca-app-pub-3144836196842303/8882942273,DragonGem,TRUE,Dragon Gem Banner
ca-app-pub-3144836196842303/9960104274,DragonGem,TRUE,Interstitial-004
ca-app-pub-3144836196842303/1341880672,FarmStory,TRUE,Interstitial-005
ca-app-pub-3144836196842303/1481481477,FarmStory,TRUE,banner-001
ca-app-pub-3144836196842303/2958214678,FarmStory,TRUE,banner-002
ca-app-pub-3144836196842303/4434947879,FarmStory,TRUE,Interstitial-001
ca-app-pub-3144836196842303/5911681071,FarmStory,TRUE,Interstitial-002
ca-app-pub-3144836196842303/6826097876,FarmStory,TRUE,Story Of Farm Banner
ca-app-pub-3144836196842303/7388414271,FarmStory,TRUE,Interstitial-003
ca-app-pub-3144836196842303/8302831076,FarmStory,TRUE,Story Of Farm Interstitial
ca-app-pub-3144836196842303/8865147474,FarmStory,TRUE,Interstitial-004
ca-app-pub-3144836196842303/8225607471,Flying Bat,TRUE,Flying Bat Banner 
ca-app-pub-3144836196842303/9702340678,Flying Bat,TRUE,Flying Bat Interstitial
ca-app-pub-8662520281509955/1628952625,FreeCell,TRUE,Interstitial-005
ca-app-pub-8662520281509955/2130310226,FreeCell,TRUE,banner-001
ca-app-pub-8662520281509955/3384887428,FreeCell,TRUE,Interstitial-001
ca-app-pub-8662520281509955/6198753029,FreeCell,TRUE,Interstitial-002
ca-app-pub-8662520281509955/6392686226,FreeCell,TRUE,banner-002
ca-app-pub-8662520281509955/6477954624,FreeCell,TRUE,Interstitial-003
ca-app-pub-8662520281509955/9152219423,FreeCell,TRUE,Interstitial-004
ca-app-pub-9240980261558928/6796671094,FreeCell,TRUE,Interstitial-005-new
ca-app-pub-9240980261558928/5459538696,FreeCell,TRUE,banner-001-new
ca-app-pub-9240980261558928/9889738299,FreeCell,TRUE,Interstitial-001-new
ca-app-pub-9240980261558928/2366471490,FreeCell,TRUE,Interstitial-002-new
ca-app-pub-9240980261558928/8413005098,FreeCell,TRUE,banner-002-new
ca-app-pub-9240980261558928/3843204693,FreeCell,TRUE,Interstitial-003-new
ca-app-pub-9240980261558928/5319937898,FreeCell,TRUE,Interstitial-004-new
ca-app-pub-9240980261558928/9000359726,FreeCell,TRUE,Admob-Interstitial-006
ca-app-pub-9240980261558928/1225890690,FreeCell_IOS,TRUE,Interstitial-005
ca-app-pub-9240980261558928/2842224696,FreeCell_IOS,TRUE,Interstitial-001
ca-app-pub-9240980261558928/4318957896,FreeCell_IOS,TRUE,Interstitial-002
ca-app-pub-9240980261558928/7272424295,FreeCell_IOS,TRUE,Interstitial-003
ca-app-pub-9240980261558928/7412025093,FreeCell_IOS,TRUE,banner-001
ca-app-pub-9240980261558928/8749157495,FreeCell_IOS,TRUE,Interstitial-004
ca-app-pub-9240980261558928/8888758290,FreeCell_IOS,TRUE,banner-002
ca-app-pub-9240980261558928/7950177523,FreeCell_IOS,TRUE,Admob-Interstitial-006
ca-app-pub-3144836196842303/2407273078,FreeCell2,TRUE,Free Cell Interstitial
ca-app-pub-3144836196842303/8453806674,FreeCell2,TRUE,Free Cell Banner
ca-app-pub-9240980261558928/1330074697,FreeCell2,TRUE,Interstitial-002
ca-app-pub-9240980261558928/1469675492,FreeCell2,TRUE,banner-001
ca-app-pub-9240980261558928/2806807897,FreeCell2,TRUE,Interstitial-003
ca-app-pub-9240980261558928/2946408699,FreeCell2,TRUE,banner-002
ca-app-pub-9240980261558928/4283541099,FreeCell2,TRUE,Interstitial-004
ca-app-pub-9240980261558928/5760274294,FreeCell2,TRUE,Interstitial-005
ca-app-pub-9240980261558928/5899875091,FreeCell2,TRUE,Interstitial-001
ca-app-pub-9240980261558928/8328325743,FreeCell2,TRUE,Admob-Interstitial-006
ca-app-pub-3144836196842303/5757249474,Gems Journey,TRUE,Gems Journey Banner 
ca-app-pub-3144836196842303/7233982672,Gems Journey,TRUE,Gems Journey Interstitial
ca-app-pub-3144836196842303/1459631872,Jelly Smash,TRUE,Jelly Smash Rewarded
ca-app-pub-3144836196842303/8982898677,Jelly Smash,TRUE,Jelly Smash Interstitial 
ca-app-pub-3144836196842303/4452742671,Jewels Legend,TRUE,Jewels Legend Banner
ca-app-pub-3144836196842303/5929475874,Jewels Legend,TRUE,Jewels Legend Interstitial
ca-app-pub-3144836196842303/4731944270,Jewels Star,TRUE,Jewels Star Banner 
ca-app-pub-3144836196842303/6208677475,Jewels Star,TRUE,Jewels Star Interstitial
ca-app-pub-3144836196842303/1638877078,Jewels Star2,TRUE,Jewels Star Interstitial
ca-app-pub-3144836196842303/9162143879,Jewels Star2,TRUE,Jewels Star 2 Banner
ca-app-pub-3144836196842303/1180430274,JewelsNinja,TRUE,Interstitial-002
ca-app-pub-3144836196842303/1601123879,JewelsNinja,TRUE,Jewels Ninja Banner
ca-app-pub-3144836196842303/2657163472,JewelsNinja,TRUE,Interstitial-003
ca-app-pub-3144836196842303/3077857075,JewelsNinja,TRUE,Jewels Ninja Interstitial
ca-app-pub-3144836196842303/4133896676,JewelsNinja,TRUE,Interstitial-004
ca-app-pub-3144836196842303/5610629877,JewelsNinja,TRUE,Interstitial-005
ca-app-pub-3144836196842303/5750230676,JewelsNinja,TRUE,banner-001
ca-app-pub-3144836196842303/7226963879,JewelsNinja,TRUE,banner-002
ca-app-pub-3144836196842303/8703697073,JewelsNinja,TRUE,Interstitial-001
ca-app-pub-3144836196842303/1499276278,Jewels Star3,TRUE,Jewels Star 3 Interstitial
ca-app-pub-3144836196842303/2098760270,Jewels Star3,TRUE,Interstitial-004
ca-app-pub-3144836196842303/3575493475,Jewels Star3,TRUE,Interstitial-005
ca-app-pub-3144836196842303/3715094279,Jewels Star3,TRUE,banner-001
ca-app-pub-3144836196842303/5191827473,Jewels Star3,TRUE,banner-002
ca-app-pub-3144836196842303/6069076676,Jewels Star3,TRUE,Jewels Star 3 Banner 
ca-app-pub-3144836196842303/6668560672,Jewels Star3,TRUE,Interstitial-001
ca-app-pub-3144836196842303/8145293875,Jewels Star3,TRUE,Interstitial-002
ca-app-pub-3144836196842303/9622027070,Jewels Star3,TRUE,Interstitial-003
ca-app-pub-3144836196842303/1034974671 ,LetMeOut,TRUE,Let Me Out Banner 
ca-app-pub-3144836196842303/1959159472,LetMeOut,TRUE,Interstitial-002
ca-app-pub-3144836196842303/3435892670,LetMeOut,TRUE,Interstitial-004
ca-app-pub-3144836196842303/4912625871,LetMeOut,TRUE,Interstitial-005
ca-app-pub-3144836196842303/5052226673,LetMeOut,TRUE,banner-001
ca-app-pub-3144836196842303/6528959871,LetMeOut,TRUE,banner-002
ca-app-pub-3144836196842303/8005693074,LetMeOut,TRUE,Interstitial-001
ca-app-pub-3144836196842303/8558241477 ,LetMeOut,TRUE,Let Me Out Interstitial 
ca-app-pub-3144836196842303/9482426270,LetMeOut,TRUE,Interstitial-003
ca-app-pub-3144836196842303/1745852278,MagicMania,TRUE,Magic Mania Banner 
