payId,price,consumable,status,platform
String,Number,Number,Boolean,String
com.cardgames.solitaire.fun.free.pyramid.classic_product6,4.99,0,TRUE,android
com.cardgames.solitaire.fun.free.pyramid.classic_product7,49.99,0,TRUE,android
com.cardgames.solitaire.fun.free.pyramid.classic_product8,1.99,1,TRUE,android
com.cardgames.solitaire.fun.free.pyramid.classic_product1,0.99,0,TRUE,ios
com.cardgames.solitaire.fun.free.pyramid.classic_product2,2.99,0,TRUE,ios
com.cardgames.solitaire.fun.free.pyramid.classic_product3,4.99,0,TRUE,ios
com.cardgames.solitaire.fun.free.pyramid.classic_product4,9.99,0,TRUE,ios
com.cardgames.solitaire.fun.free.pyramid.classic_product5,19.99,0,TRUE,ios
com.cardgames.solitaire.fun.free.pyramid.classic_product6,4.99,0,TRUE,ios
com.cardgames.solitaire.fun.free.pyramid.classic_product7,49.99,0,TRUE,ios
com.cardgames.solitaire.fun.free.pyramid.classic_product8,1.99,1,TRUE,ios
com.cardgames.solitaire.fun.free.tripeaks.classic_product1,0.99,0,TRUE,android
com.cardgames.solitaire.fun.free.tripeaks.classic_product2,2.99,0,TRUE,android
com.cardgames.solitaire.fun.free.tripeaks.classic_product3,4.99,0,TRUE,android
com.cardgames.solitaire.fun.free.tripeaks.classic_product4,9.99,0,TRUE,android
com.cardgames.solitaire.fun.free.tripeaks.classic_product5,19.99,0,TRUE,android
com.cardgames.solitaire.fun.free.tripeaks.classic_product6,4.99,0,TRUE,android
com.cardgames.solitaire.fun.free.tripeaks.classic_product7,49.99,0,TRUE,android
com.cardgames.solitaire.fun.free.tripeaks.classic_product8,1.99,1,TRUE,android
com.cardgames.solitaire.fun.free.tripeaks.classic_product1,0.99,0,TRUE,ios
com.cardgames.solitaire.fun.free.tripeaks.classic_product2,2.99,0,TRUE,ios
com.cardgames.solitaire.fun.free.tripeaks.classic_product3,4.99,0,TRUE,ios
com.cardgames.solitaire.fun.free.tripeaks.classic_product4,9.99,0,TRUE,ios
com.cardgames.solitaire.fun.free.tripeaks.classic_product5,19.99,0,TRUE,ios
com.cardgames.solitaire.fun.free.tripeaks.classic_product6,4.99,0,TRUE,ios
com.cardgames.solitaire.fun.free.tripeaks.classic_product7,49.99,0,TRUE,ios
com.cardgames.solitaire.fun.free.tripeaks.classic_product8,1.99,1,TRUE,ios
com.cardgames.solitaire.patience.free.klondike.spider.collection.classic_product1,0.99,0,TRUE,android
com.cardgames.solitaire.patience.free.klondike.spider.collection.classic_product2,2.99,0,TRUE,android
com.cardgames.solitaire.patience.free.klondike.spider.collection.classic_product3,4.99,0,TRUE,android
com.cardgames.solitaire.patience.free.klondike.spider.collection.classic_product4,9.99,0,TRUE,android
com.cardgames.solitaire.patience.free.klondike.spider.collection.classic_product5,19.99,0,TRUE,android
com.cardgames.solitaire.patience.free.klondike.spider.collection.classic_product6,4.99,0,TRUE,android
com.cardgames.solitaire.patience.free.klondike.spider.collection.classic_product7,49.99,0,TRUE,android
com.cardgames.solitaire.patience.free.klondike.spider.collection.classic_product8,1.99,1,TRUE,android
